                               N:         1        10       100        1000         10000         100000       1000000      10000000
            1.1-BubbleSort_random   2.543µs   1.173µs  17.298µs  1.079674ms   98.512671ms  17.480137344s             ∞             ∞
            1.2-BubbleSort_digits    1.02µs   1.901µs  21.268µs   914.013µs   91.745098ms  17.134404595s             ∞             ∞
            1.3-BubbleSort_sorted     882ns   1.857µs  10.899µs   650.314µs   61.948755ms   5.916988495s             ∞             ∞
            1.4-BubbleSort_revers    1.09µs   1.604µs  16.035µs  1.262835ms  103.924166ms   9.956839396s             ∞             ∞
         2.1-SelectionSort_random   1.216µs   1.915µs  29.834µs   691.914µs   55.507572ms   5.248108166s             ∞             ∞
         2.2-SelectionSort_digits   1.162µs   1.539µs  12.543µs   600.467µs   54.425291ms    5.26806066s             ∞             ∞
         2.3-SelectionSort_sorted   1.096µs   1.512µs   9.642µs   586.268µs    54.17566ms   5.352997753s             ∞             ∞
         2.4-SelectionSort_revers   1.068µs    1.74µs  10.137µs   560.562µs   51.380628ms   5.085988735s             ∞             ∞
         3.1-InsertionSort_random   1.136µs   1.765µs  10.505µs   509.404µs   46.450277ms   4.712935464s             ∞             ∞
         3.2-InsertionSort_digits   1.023µs    1.76µs   11.59µs   479.333µs   43.430604ms    4.37854271s             ∞             ∞
         3.3-InsertionSort_sorted   1.069µs   1.633µs   6.537µs   216.295µs   18.958644ms   1.925134892s             ∞             ∞
         3.4-InsertionSort_revers   1.204µs   1.894µs  10.198µs   753.538µs   73.814041ms   7.347093977s             ∞             ∞
      4.1-ShellSort_O(N^2)_random   2.314µs   4.884µs   9.267µs    111.29µs    1.421004ms    21.959835ms  247.561673ms  3.110251836s
      4.2-ShellSort_O(N^2)_digits   1.262µs   2.722µs   7.882µs    74.136µs     756.198µs     7.635464ms   83.136625ms  963.252419ms
      4.3-ShellSort_O(N^2)_sorted   1.626µs   2.097µs   8.683µs    74.304µs    1.348101ms    14.356809ms  185.687412ms  2.316555617s
      4.4-ShellSort_O(N^2)_revers   1.486µs  13.155µs   6.179µs    73.694µs    1.339005ms     8.945214ms   94.848355ms  930.753399ms
    5.1-ShellSort_O(N^1.5)_random   5.149µs   9.709µs  11.253µs   153.991µs    1.773215ms    20.045595ms  246.807883ms  3.238606653s
    5.2-ShellSort_O(N^1.5)_digits   1.453µs    2.31µs   7.911µs    58.365µs     706.202µs     7.613111ms   77.713397ms  787.664586ms
    5.3-ShellSort_O(N^1.5)_sorted   1.374µs   2.493µs   5.438µs    74.897µs    1.503449ms    14.870111ms  201.466362ms  2.458898174s
    5.4-ShellSort_O(N^1.5)_revers   1.851µs  11.111µs   7.489µs    75.428µs     802.075µs     7.941939ms   85.964558ms   997.98807ms
  6.1-ShellSort_O(N^(4/3))_random    2.67µs  16.341µs  13.133µs   104.693µs    1.355919ms    16.290671ms  245.623341ms  2.070377708s
  6.2-ShellSort_O(N^(4/3))_digits   2.527µs  10.411µs  10.298µs    68.664µs     665.419µs     6.528083ms   65.580767ms  692.969997ms
  6.3-ShellSort_O(N^(4/3))_sorted   2.119µs   6.368µs  10.611µs    78.088µs    1.170314ms    12.096376ms  150.714438ms  1.878677882s
  6.4-ShellSort_O(N^(4/3))_revers   2.737µs    6.68µs   7.127µs    69.008µs     710.996µs     7.411293ms   78.280774ms  822.503297ms
              7.1-HeapSort_random   1.987µs  11.445µs  11.441µs    133.28µs     1.68141ms    20.153731ms  263.610573ms  4.258413106s
              7.2-HeapSort_digits  11.768µs   6.182µs  12.698µs     97.15µs    1.241255ms    11.768573ms  144.776909ms  1.664170417s
              7.3-HeapSort_sorted   1.756µs    7.54µs  13.879µs     107.9µs    1.440404ms    16.001768ms  186.578615ms  2.102641846s
              7.4-HeapSort_revers   9.309µs   8.106µs  20.382µs   122.753µs    1.375888ms     15.68847ms  182.397771ms  2.056940072s
